study_id,title,authors,year,venue,doi_or_url,publication_type,peer_reviewed,formal_corpus_role,transportation_scope,task_stage,learned_component,road_context,agent_types,input_modalities,output_object,risk_sources,shift_construction,shift_realism,shift_detectable,safety_consequence,signal_risk_relation_level,monitoring_horizon,risk_label_source,method_category,uncertainty_output,uncertainty_type,uncertainty_provenance,risk_definition,loss_function,calibration_target,decision_relevance_primary,decision_mechanisms,operational_threshold,feedback_availability,guarantee_target,statistical_guarantee_type,statistical_guarantee_strength,formal_control_guarantee,guarantee_scope,guarantee_violation_tested,under_shift_validity,claim_status,intervention_primary,intervention_secondary,trigger_rule,fallback_policy,intervention_cost,online_latency,transportation_impact,datasets_simulator,predictive_metrics,calibration_metrics,safety_metrics,utility_metrics,boundary_decision
REC-75C7E53FEEB0,"Ergo, SMIRK is safe: a safety case for a machine learning component in a pedestrian automatic emergency brake system",Markus Borg; Jens Henriksson; Kasper Socha; Olof Lennartsson; Elias Sonnsjö Lönegren; Thanh Bui; Piotr Tomaszewski; Sankar Raman Sathyamoorthy; Sebastian Brink; Mahshid Helali Moghadam,2023,Software Quality Journal,10.1007/s11219-022-09613-1,Journal Article,yes,core,vehicle-pedestrian; road-autonomous-driving,perception-interface,NA:no learned component clearly identified,intersection,vehicle; pedestrian; heterogeneous,image,NR:output object not explicit,weather_or_visibility,synthetic perturbation; online temporal change,synthetic,yes,collision,empirical-validated,NR:actionable monitoring horizon not reported,NR:risk label source not explicitly reported,deterministic_confidence,NR:uncertainty output not explicitly reported,unspecified,not-applicable,"The uncertainty/risk signal is the reconstruction-error-based OOD detection from an autoencoder (Anomaly Detector, component J in Section 7.1), which outputs a verdict on whether a camera input is out-of-distribution relative to training data. This signal is fed to the Uncertainty Manager, the decision-making part of the ""safety cage"" that aggregates OOD status, pedestrian-detection output, and rule-engine heuristics to produce a final confidence.",NR:risk or safety loss not explicitly reported,NA:no explicit calibration target,triggered-intervention,discrete-trigger,reported,delayed observed outcome,NA:no explicit guarantee target,none,G0,none,NA:no statistical guarantee,NA:no statistical guarantee,NA:no statistical guarantee,not-applicable,emergency_braking,abstention_or_rejection,fixed-or-conditioned-threshold; see intervention evidence,emergency braking/stop,NR:intervention cost not reported,"reported at PDF p. 26: real-time characteristics of different YOLOv5 architectures7, we found that YOLOv5s",NR:transportation-system impact not reported,INTERACTION,accuracy/AUROC,NA:no calibration metrics,TTC/min-distance,reward/return,core
REC-773AA6FD59FA,Hybrid Eyes: Design and Evaluation of the Prediction-Level Cooperative Driving with a Real-World Automated Driving System,Chao Wang; Derck Chu; Marieke Martens; Matti KrüGer; Thomas H. Weisswange,2022,Proceedings of the 14th International Conference on Automotive User Interfaces and Interactive Vehicular Applications,10.1145/3543174.3546832,Conference Paper,yes,core,vehicle-pedestrian; vehicle-vehicle; traffic-system; road-autonomous-driving,perception-interface; behavior-prediction; control-interface,NA:no learned component clearly identified,highway,vehicle; pedestrian; cyclist; heterogeneous,V2X,action,weather_or_visibility; long_tail_scenario; malicious_or_untrusted_information,NA:no explicit distribution-shift construction,NA:no explicit distribution-shift evaluation,no,NR:safety consequence not explicitly operationalized,empirical-validated,NR:actionable monitoring horizon not reported,NR:risk label source not explicitly reported,probabilistic_model,NR:uncertainty output not explicitly reported,unspecified,not-applicable,人工注入的未来危险指示与系统的概率交通行为预测及内部风险/代价评估结合；,NR:risk or safety loss not explicitly reported,NA:no explicit calibration target,constraint-or-cost,none,reported,delayed observed outcome,NA:no explicit guarantee target,none,G0,none,NA:no statistical guarantee,NA:no statistical guarantee,NA:no statistical guarantee,not-applicable,trajectory_modification,none,fixed-or-conditioned-threshold; see intervention evidence,NR:fallback policy not reported,reported,NR:end-to-end online latency not reported,reported,INTERACTION,accuracy/AUROC,NA:no calibration metrics,TTC/min-distance; intervention/failure,comfort,core
REC-786700C3DDC0,A Self-Driving Decision Making With Reachable Path Analysis and Interaction-Aware Speed Profiling,"Song, Yuho; Han, Sangwon; Huh, Kunsoo",2023,IEEE ACCESS,10.1109/access.2023.3328628,Article,yes,core,vehicle-vehicle; road-autonomous-driving,perception-interface; motion-forecasting; planning; control-interface,uncertainty-estimator,highway; urban; intersection; parking,vehicle; robot; vessel; heterogeneous,V2X,action,weather_or_visibility; sensor_or_perception_error; malicious_or_untrusted_information,NA:no explicit distribution-shift construction,NA:no explicit distribution-shift evaluation,no,collision,formal-quantitative,reported,collision; reward-or-cost,formal_or_reachability_bound; probabilistic_model,variance,unspecified,model-output-score,"The signal is an uncertainty-aware collision-risk penalty derived from Gaussian longitudinal/lateral perception and traffic-motion error, plus an interaction-aware gap penalty based on uncertain lead/lag gaps and a cut-in probability model. These signals are explicitly summed into the MDP reward and consumed by the path-planning and speed-profiling MDPs, changing selected paths, lane-change choices, and target speed; the planner is re-run when predicted-versus-measured state deviation crosses a confidence boundary.",NR:risk or safety loss not explicitly reported,trajectory; collision,triggered-intervention,cost-or-objective,reported,NR:feedback timing not reported,collision-risk,empirical_confidence,G1,none,NR:guarantee scope not explicit,NR:not reported,NR:not established,conditional,replanning,speed_reduction,fixed-or-conditioned-threshold; see intervention evidence,replanning,reported,NR:end-to-end online latency not reported,NR:transportation-system impact not reported,INTERACTION; NGSIM,accuracy/AUROC,NA:no calibration metrics,NR:safety metrics not extracted,comfort,core
REC-799C6ADBFDE9,Rule-Guidance Reinforcement Learning for Lane Change Decision-making: A Risk Assessment Approach,"Xiong, Lu; Li, Zhuoren; Zhong, Danyang; Xu, Puhang; Tang, Chen",2025,Chinese Journal of Mechanical Engineering (English Edition),10.1186/s10033-024-01160-z,Article,yes,core,vehicle-vehicle; traffic-system; road-autonomous-driving,motion-forecasting; planning; control-interface; policy-learning,policy,highway; intersection,vehicle; robot; heterogeneous,image,risk-score,weather_or_visibility,NA:no explicit distribution-shift construction,NA:no explicit distribution-shift evaluation,no,collision,formal-quantitative,reported,collision; reward-or-cost,deterministic_confidence,probability; score,unspecified,model-output-score,"The uncertainty/risk signal is a collision probability computed from Gaussian-modeled trajectory prediction uncertainty of surrounding vehicles (position/heading noise propagated through fused kinematic and lane-change trajectories). This risk assessment produces three normalized indicators (high-risk trajectory point count CHR, peak collision probability Cp, reciprocal of time-to-peak CTTP) combined into a scalar risk score. The signal is consumed by the planner as a safety filter: wh",reported,trajectory; collision,constraint-or-cost,discrete-trigger; filter-or-revision,reported,delayed observed outcome,collision-risk,none,G0,none,NA:no statistical guarantee,NA:no statistical guarantee,NA:no statistical guarantee,not-applicable,uncertainty_conditioned_policy,none,fixed-or-conditioned-threshold; see intervention evidence,replanning,reported,NR:end-to-end online latency not reported,reported,INTERACTION,accuracy/AUROC,NA:no calibration metrics,collision; TTC/min-distance,completion/success; efficiency/travel-time; reward/return,core
REC-7BDCC12AD237,Enhancing Pedestrian Safety Through Automated Emergency Steering: Design and Experimental Validation of a Risk-Based Architecture,"Tolksdorf, Leon; Sanchez, Manuel Munoz; Loeffler, Christian; Gloger, Timm F.; Fischer, Yannick; Smit, Robin; Van Der Ploeg, Chris",2026,IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS,10.1109/tits.2026.3676623,Article,yes,core,vehicle-pedestrian; vehicle-vehicle,perception-interface; motion-forecasting; planning; control-interface,predictor,urban,vehicle; pedestrian; cyclist; robot; heterogeneous,image; radar; V2X,action,cross_city_or_domain; weather_or_visibility,NA:no explicit distribution-shift construction,NA:no explicit distribution-shift evaluation,no,collision,empirical-validated,reported,NR:risk label source not explicitly reported,probabilistic_model,NR:uncertainty output not explicitly reported,unspecified,not-applicable,"The uncertainty/risk signal is a probabilistic risk measure (Eq. 5) computed via Monte Carlo sampling over the probability density of uncertain pedestrian trajectories produced by a learned LSTM-based prediction model (Sec. IV-B, PDF_PAGE 5). The risk measure captures uncertainty from noisy perception, late detections, and tracking uncertainty (PDF_PAGE 2, Sec. I).",NR:risk or safety loss not explicitly reported,trajectory,triggered-intervention,discrete-trigger,reported,delayed observed outcome,NA:no explicit guarantee target,none,G0,none,NA:no statistical guarantee,NA:no statistical guarantee,NA:no statistical guarantee,not-applicable,emergency_braking,candidate_reranking,fixed-or-conditioned-threshold; see intervention evidence,emergency braking/stop,reported,NR:end-to-end online latency not reported,NR:transportation-system impact not reported,INTERACTION,FDE; accuracy/AUROC,NA:no calibration metrics,TTC/min-distance,comfort; reward/return,core
REC-806F1D9E721B,Robust Predictive Motion Planning by Learning Obstacle Uncertainty,J. Zhou; Y. Gao; O. Johansson; B. Olofsson; E. Frisk,2025,IEEE Transactions on Control Systems Technology,10.1109/tcst.2025.3533378,IEEE Journals,yes,core,vehicle-vehicle; mobile-robot-or-general-robotics; road-autonomous-driving,motion-forecasting; planning; control-interface,NA:no learned component clearly identified,urban,vehicle; robot; heterogeneous,image; V2X,action; safety-constraint,weather_or_visibility,NA:no explicit distribution-shift construction,NA:no explicit distribution-shift evaluation,no,collision; infeasible-planning,formal-quantitative,reported,planning-infeasibility,formal_or_reachability_bound; probabilistic_model,distribution,unspecified,model-output-score,从障碍物历史控制样本在线学习的意图控制集合及其前向可达占用；,NR:risk or safety loss not explicitly reported,NA:no explicit calibration target,constraint-or-cost,none,NR:operational threshold not reported,NR:feedback timing not reported,NA:no explicit guarantee target,none,G0,none,NA:no statistical guarantee,NA:no statistical guarantee,NA:no statistical guarantee,not-applicable,trajectory_modification,none,continuous constraint-or-cost,NR:fallback policy not reported,reported,reported at PDF p. 9: computation time by the proposed method is 0.0340 s,NR:transportation-system impact not reported,INTERACTION; Shifts,accuracy/AUROC,NA:no calibration metrics,TTC/min-distance,efficiency/travel-time,core
REC-828FA7E69189,Using Uncertainty Data in Chance-Constrained Trajectory Planning,"Lefkopoulos, Vasileios; Kamgarpour, Maryam",2019,"2019 18th European Control Conference, ECC 2019",10.23919/ecc.2019.8795823,Conference paper,yes,core,road-autonomous-driving,perception-interface; planning; control-interface,planner,intersection,vehicle; robot; heterogeneous,NR:input modality not reported in extracted evidence,safety-constraint,weather_or_visibility,NA:no explicit distribution-shift construction,NA:no explicit distribution-shift evaluation,no,constraint-violation,formal-quantitative,NR:actionable monitoring horizon not reported,constraint-violation,probabilistic_model,interval; variance; bound-or-constraint,unspecified,model-output-score,"The uncertainty signal consists of estimated moments (sample mean µ̂ and covariance Σ̂) of Gaussian-distributed obstacle face coefficients, together with tight concentration bounds (r₁, r₂) that provide probabilistic guarantees on the estimation error.",NR:risk or safety loss not explicitly reported,constraint,constraint-or-cost,none,reported,delayed observed outcome,NA:no explicit guarantee target,empirical_confidence,G1,none,trajectory,NR:not reported,NR:not established,conditional,trajectory_modification,none,chance-constraint,NR:fallback policy not reported,reported,NR:end-to-end online latency not reported,NR:transportation-system impact not reported,NR:dataset or simulator not extracted,NR:predictive metrics not extracted,NA:no calibration metrics,constraint-violation,NR:utility metrics not extracted,core
REC-87E700E2C229,UncAD: Towards Safe End-to-end Autonomous Driving via Online Map Uncertainty,"Yang, Pengxuan; Zheng, Yupeng; Zhang, Qichao; Zhu, Kefei; Xing, Zebin; Lin, Qiao; Liu, Yun-Fu; Su, Zhiguo; Zhao, Dongbin",2025,Proceedings - IEEE International Conference on Robotics and Automation,10.1109/icra55743.2025.11128148,Conference paper,yes,core,vehicle-pedestrian; road-autonomous-driving,perception-interface; motion-forecasting; planning,uncertainty-estimator,NR:road context not specified,vehicle; pedestrian; robot; heterogeneous,trajectory; map; image,candidate-plan,weather_or_visibility; localization_or_map_error; epistemic_uncertainty; aleatoric_uncertainty,NA:no explicit distribution-shift construction,NA:no explicit distribution-shift evaluation,no,collision,empirical-validated,NR:actionable monitoring horizon not reported,collision,generative_or_diffusion,NR:uncertainty output not explicitly reported,aleatoric; epistemic,not-applicable,"The signal is **online map uncertainty** — the aleatoric uncertainty of each map-element point (boundary, lane divider, pedestrian), modeled via Laplace-distribution parameters (µ, b) estimated by the Map Uncertainty Estimation (MUE) module.",reported,collision,constraint-or-cost,none,reported,delayed observed outcome,NA:no explicit guarantee target,none,G0,none,NA:no statistical guarantee,NA:no statistical guarantee,NA:no statistical guarantee,not-applicable,candidate_reranking,none,fixed-or-conditioned-threshold; see intervention evidence,NR:fallback policy not reported,reported,NR:end-to-end online latency not reported,reported,nuScenes; INTERACTION,ADE; NLL; accuracy/AUROC,Brier/NLL,collision,efficiency/travel-time,core
REC-8E36017378AC,Tactical Decision-Making in Autonomous Driving by Reinforcement Learning with Uncertainty Estimation,"Hoel, Carl-Johan; Wolff, Krister; Laine, Leo",2020,"IEEE Intelligent Vehicles Symposium, Proceedings",10.1109/iv47402.2020.9304614,Conference paper,yes,core,vehicle-vehicle; traffic-system; road-autonomous-driving,perception-interface; planning; policy-learning,policy; uncertainty-estimator,highway; urban; intersection,vehicle,image,action; warning-or-alarm,weather_or_visibility,NR:shift construction not detailed,natural; synthetic,no,collision; infeasible-planning,empirical-validated,NR:actionable monitoring horizon not reported,collision; planning-infeasibility; reward-or-cost,deep_ensemble,variance,unspecified,ensemble-derived,"Core inclusion. The paper presents a Bayesian RL (ensemble RPF) agent for tactical decision-making in autonomous highway driving. The uncertainty signal is the coefficient of variation (cv) of ensemble Q-value estimates. This signal is directly consumed by the policy: actions with cv > csafe_v = 0.02 are prohibited, and a fallback safe action (hard brake, stay in lane) is selected when no action passes the threshold (Eq. 6, Section II-C,). Safety consequences are evaluated via collision rates in out-of",reported,NA:no explicit calibration target,triggered-intervention,discrete-trigger,reported,NR:feedback timing not reported,NA:no explicit guarantee target,none,G0,none,NA:no statistical guarantee,NA:no statistical guarantee,NA:no statistical guarantee,not-applicable,uncertainty_conditioned_policy,none,fixed-or-conditioned-threshold; see intervention evidence,emergency braking/stop,reported,NR:end-to-end online latency not reported,NR:transportation-system impact not reported,SUMO,NR:predictive metrics not extracted,NA:no calibration metrics,collision,efficiency/travel-time; reward/return,core
REC-928AF0A81AEF,Is Anyone There? Learning a Planner Contingent on Perceptual Uncertainty,"Packer, Charles; Rhinehart, Nicholas; McAllister, Rowan; Wright, Matthew A.; Wang, Xin; He, Jeff; Levine, Sergey; Gonzalez, Joseph E.",2023,Proceedings of Machine Learning Research,NR:DOI or canonical URL not available,Conference paper,yes,core,vehicle-vehicle; multiagent,joint prediction-planning; active perception,Active Visual Planning model/planner,blind hill; overtake; occluded intersection,vehicle; multiple hidden agents,history; LiDAR/vision context; partial trajectories,joint belief over existence/location/intent; contingent plan,sensor_or_perception_error; interaction_uncertainty; epistemic_uncertainty,hand-designed partial-observability scenarios,synthetic,no,collision; failure to reach goal,learned-correlation,scenario planning horizon; explicit warning lead NA,simulator latent agent state/behavior,probabilistic_model; mixture_model,joint belief/distribution,aleatoric; epistemic/unspecified,learned-parametric,"uncertainty about hidden-agent existence, position and intent",reported,none,constraint-or-cost,belief-conditioned planning,planner trades information gathering versus progress; no scalar threshold,belief updated from observations; no calibration feedback,none,none,G0,none,scenario-level contingent planning,yes:occlusion cases,no,not-applicable,active_information_gathering,uncertainty_conditioned_policy; contingent_planning,belief-dependent planner may creep/observe before committing,wait/alternative contingent branch,arrival versus collision trade-off reported,NR,ego success only,CARLA; four scenario families,belief/prediction metrics NR,none,collisions,arrival/near-expert success,core
REC-95A62AD7F91C,Prediction Failure Risk-Aware Decision-Making for Autonomous Vehicles on Signalized Intersections,"Yang, Kai; Li, Boqi; Shao, Wenbo; Tang, Xiaolin; Liu, Xiaochuan; Wang, Hong",2023,IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS,10.1109/tits.2023.3288507,Article,yes,core,vehicle-vehicle; vehicle-pedestrian; heterogeneous traffic,motion forecasting; planning,HEAT+ ensemble predictor; NMPC,signalized intersection,vehicle; pedestrian; cyclist/non-motorized,trajectory history; map; signal state,trajectory mean/std; entropy; MPC control,behavior_shift; long_tail_scenario; epistemic_uncertainty,real illegal behaviors plus SUMO test-time violations,natural; synthetic,no,prediction failure and collision,learned-correlation,3 s prediction and planning horizon,ensemble positional dispersion/entropy; collision outcome,deep_ensemble; probabilistic_model,ensemble standard deviation and entropy,epistemic,ensemble-derived,prediction-period entropy called failure risk; planner uses positional spread,NR:risk or safety loss not explicitly reported,none,constraint-or-cost,uncertainty-based obstacle inflation,continuous ellipse inflation coefficients eta/mu; values/risk meaning NR,no online recalibration,none beyond empirical collision reduction,none,G0,none,3 s prediction/MPC horizon,yes:challenge scenarios but not guarantee failure,no,not-applicable,mpc_filter,speed_reduction; trajectory_modification,uncertainty continuously inflates obstacle ellipses via eta/mu,none,average speed quantifies conservatism; comfort NR,10 Hz decision rate; end-to-end compute NR,average speed/red-light rate only; no network flow,SIND; SUMO,ADE/FDE,none,collision rate; red-light violation,average speed,core
REC-9C6B9882FF2E,Multi-agent Uncertainty-Aware Pessimistic Model-Based Reinforcement Learning for Connected Autonomous Vehicles,"Wen, Ruoqi; Li, Rongpeng; Xu, Xing; Mashhadi, Mahdi Boloursaz; Xiao, Pei; Zhao, Zhifeng",2026,IEEE Transactions on Mobile Computing,10.1109/tmc.2026.3683781,Article,yes,core,traffic-system; road-autonomous-driving,control-interface; policy-learning,world-model; policy; uncertainty-estimator,urban; intersection,vehicle,V2X,prediction-set,weather_or_visibility; interaction_uncertainty; model_misspecification; epistemic_uncertainty; aleatoric_uncertainty,synthetic perturbation; adversarial construction,natural; synthetic; adversarial,no,collision,formal-quantitative,NR:actionable monitoring horizon not reported,reward-or-cost,deterministic_confidence,set,aleatoric; epistemic,model-output-score,"The signal is pessimistic model uncertainty: a dataset-constrained set of learned transition/reward models around the MLE is optimized in a max-min formulation, avoiding an explicit subjective uncertainty estimate. The worst-case model is directly consumed during policy optimization, producing CAV actions (target velocity and lane-change decisions), so it changes runtime vehicle decisions. Safety/task evaluation is provided in SMARTS closed-loop urban-intersection simulations: collision-risk/emergency-braking is in",reported,NA:no explicit calibration target,triggered-intervention,cost-or-objective; discrete-trigger,reported,NR:feedback timing not reported,NA:no explicit guarantee target,none,G0,none,NA:no statistical guarantee,NA:no statistical guarantee,NA:no statistical guarantee,not-applicable,uncertainty_conditioned_policy,none,fixed-or-conditioned-threshold; see intervention evidence,emergency braking/stop,reported,NR:end-to-end online latency not reported,reported,INTERACTION; Shifts,NR:predictive metrics not extracted,NA:no calibration metrics,NR:safety metrics not extracted,efficiency/travel-time; reward/return,core
REC-A67D6501E074,C-TRAIL: A Commonsense World Framework for Trajectory Planning in Autonomous Driving,"Cui, Zhihong; Tang, Haoran; Li, Tianyi; Li, Yushuai; Guan, Peiyuan; Taherkordi, Amir; Skeie, Tor",2026,IEEE Transactions on Vehicular Technology,10.1109/tvt.2026.3682668,Article,yes,core,vehicle-vehicle; road-autonomous-driving,perception-interface; planning; policy-learning,uncertainty-estimator,highway,vehicle,state; image,action,weather_or_visibility,NA:no explicit distribution-shift construction,NA:no explicit distribution-shift evaluation,no,infeasible-planning,empirical-validated,NR:actionable monitoring horizon not reported,prediction-error; planning-infeasibility; reward-or-cost,probabilistic_model,distribution,unspecified,model-output-score,"The signal is the per-relation **trust score C_t** (Definition 3,), a dual-uncertainty/reliability metric that combines *commonsense trust* (semantic consistency across multiple LLM queries) and *kinematic trust* (physical feasibility of the LLM-recommended action). This signal quantifies the reliability of LLM-generated commonsense knowledge used for trajectory planning in autonomous driving.",reported,NA:no explicit calibration target,constraint-or-cost,none,reported,delayed observed outcome,NA:no explicit guarantee target,none,G0,none,NA:no statistical guarantee,NA:no statistical guarantee,NA:no statistical guarantee,not-applicable,uncertainty_conditioned_policy,none,fixed-or-conditioned-threshold; see intervention evidence,NR:fallback policy not reported,reported,reported at PDF p. 7: Inference time 14–18 s,NR:transportation-system impact not reported,INTERACTION; HighD; Shifts,ADE; FDE; accuracy/AUROC,NA:no calibration metrics,NR:safety metrics not extracted,completion/success; efficiency/travel-time; comfort; reward/return,core
REC-AC89E8C9CD96,Chance-Constrained Trajectory Planning With Multimodal Environmental Uncertainty,"Ren, Kai; Ahn, Heejin; Kamgarpour, Maryam",2023,IEEE Control Systems Letters,10.1109/lcsys.2022.3186269,Article,yes,core,traffic-system; road-autonomous-driving,perception-interface; motion-forecasting; planning; control-interface,predictor; planner,intersection,vehicle; robot; heterogeneous,NR:input modality not reported in extracted evidence,safety-constraint,weather_or_visibility,NA:no explicit distribution-shift construction,NA:no explicit distribution-shift evaluation,no,collision; constraint-violation; infeasible-planning,formal-quantitative,reported,constraint-violation; planning-infeasibility,post_hoc_calibration; mixture_model; probabilistic_model,distribution; bound-or-constraint,unspecified,model-output-score,"The paper presents a chance-constrained trajectory planner for autonomous driving that consumes a learned GMM-based multimodal uncertainty signal (future positions of other vehicles predicted by Trajectron++) within a mixed-integer second-order cone trajectory optimization problem. The signal directly changes the planned trajectory: the GMM uncertainty distribution determines the tightness of the chance/CVaR constraints in (15)-(16), and different uncertainty modelling choices (GMM vs unimodal Gaussian) produce dif",NR:risk or safety loss not explicitly reported,trajectory; constraint,constraint-or-cost,none,reported,NR:feedback timing not reported,NA:no explicit guarantee target,none,G0,none,NA:no statistical guarantee,yes,NA:no statistical guarantee,not-applicable,trajectory_modification,none,chance-constraint,NR:fallback policy not reported,reported,reported at PDF p. 6: Computational Time: Within 1.5 s,NR:transportation-system impact not reported,nuScenes,NR:predictive metrics not extracted,ECE,constraint-violation,NR:utility metrics not extracted,core
REC-ACCC42AB6620,Uncertainty Quantification with Statistical Guarantees in End-to-End Autonomous Driving Control,"Michelmore, Rhiannon; Wicker, Matthew; Laurenti, Luca; Cardelli, Luca; Gal, Yarin; Kwiatkowska, Marta",2020,Proceedings - IEEE International Conference on Robotics and Automation,10.1109/icra40945.2020.9196844,Conference paper,yes,core,vehicle-pedestrian; traffic-system; road-autonomous-driving,perception-interface; control-interface; policy-learning,uncertainty-estimator,intersection,vehicle; pedestrian; heterogeneous,image; LiDAR,action,weather_or_visibility,NA:no explicit distribution-shift construction,NA:no explicit distribution-shift evaluation,no,collision,formal-quantitative,NR:actionable monitoring horizon not reported,NR:risk label source not explicitly reported,mc_dropout; bayesian_neural_network; probabilistic_model,interval; variance,unspecified,model-output-score,"BNN confidence and mutual information receive Chernoff statistical bounds and trigger slowing, braking or takeover; CARLA experiments evaluate collision avoidance and probabilistic safety.",reported,NA:no explicit calibration target,triggered-intervention,discrete-trigger,reported,NR:feedback timing not reported,NA:no explicit guarantee target,empirical_confidence,G1,none,NR:guarantee scope not explicit,NR:not reported,NR:not established,conditional,simplex_or_fallback,none,fixed-or-conditioned-threshold; see intervention evidence,human takeover,NR:intervention cost not reported,NR:end-to-end online latency not reported,NR:transportation-system impact not reported,CARLA,accuracy/AUROC,NA:no calibration metrics,NR:safety metrics not extracted,reward/return,core
REC-ACFDB6A98E44,Safe Planning and Control Under Uncertainty for Self-Driving,"Khaitan, Shivesh; Lin, Qin; Dolan, John M.",2021,IEEE TRANSACTIONS ON VEHICULAR TECHNOLOGY,10.1109/tvt.2021.3108525,Article,yes,core,vehicle-vehicle; road-autonomous-driving,perception-interface; planning; control-interface,predictor,urban; intersection,vehicle; cyclist; robot; heterogeneous,state,action,weather_or_visibility; model_misspecification,NA:no explicit distribution-shift construction,NA:no explicit distribution-shift evaluation,no,collision,formal-quantitative,reported,NR:risk label source not explicitly reported,formal_or_reachability_bound; probabilistic_model,NR:uncertainty output not explicitly reported,unspecified,not-applicable,两阶段障碍物占用集合表征预测不确定性，在线GPR以残差均值和标准差学习自车模型扰动边界。,NR:risk or safety loss not explicitly reported,NA:no explicit calibration target,constraint-or-cost,none,NR:operational threshold not reported,delayed observed outcome,NA:no explicit guarantee target,none,G0,none,NA:no statistical guarantee,NA:no statistical guarantee,NA:no statistical guarantee,not-applicable,trajectory_modification,none,continuous constraint-or-cost,NR:fallback policy not reported,reported,NR:end-to-end online latency not reported,NR:transportation-system impact not reported,CARLA,NR:predictive metrics not extracted,NA:no calibration metrics,NR:safety metrics not extracted,efficiency/travel-time; comfort; reward/return,core
REC-AFDA15A675EC,Ensemble Bayesian Decision Making with Redundant Deep Perceptual Control Policies,"Lee, Keuntaek; Wang, Ziyi; Vlahov, Bogdan; Brar, Harleen; Theodorou, Evangelos A.",2019,"Proceedings - 18th IEEE International Conference on Machine Learning and Applications, ICMLA 2019",10.1109/icmla.2019.00145,Conference paper,yes,core,road-autonomous-driving,perception-interface; risk-monitoring; control-interface; policy-learning,risk-monitor,parking,vehicle; robot; heterogeneous,image; LiDAR; radar,action,weather_or_visibility; sensor_or_perception_error; epistemic_uncertainty; aleatoric_uncertainty,synthetic perturbation; online temporal change,natural; synthetic,no,collision,empirical-validated,NR:actionable monitoring horizon not reported,collision; reward-or-cost,deep_ensemble; mc_dropout; bayesian_neural_network; probabilistic_model,variance; distribution,aleatoric; epistemic,hybrid:ensemble-derived+oracle-injected,"The predictive uncertainty (total variance combining aleatoric and epistemic components, Eq. 5, PDF_PAGE 4) from each BNN in the ensemble. Each BNN outputs a Gaussian distribution (mean steering command and variance) via Monte Carlo dropout; the total variance per network is computed from sampled outputs. (b) Changes",reported,NA:no explicit calibration target,triggered-intervention,discrete-trigger,NR:operational threshold not reported,NR:feedback timing not reported,NA:no explicit guarantee target,none,G0,none,NA:no statistical guarantee,NA:no statistical guarantee,NA:no statistical guarantee,not-applicable,abstention_or_rejection,none,continuous constraint-or-cost,NR:fallback policy not reported,reported,reported at PDF p. 5: real time (20Hz,NR:transportation-system impact not reported,Shifts,accuracy/AUROC,NA:no calibration metrics,NR:safety metrics not extracted,efficiency/travel-time; reward/return,core
REC-AFDD3B7A93D6,"Safe, learning-based MPC for highway driving under lane-change uncertainty: A distributionally robust approach","Schuurmans, Mathijs; Katriniok, Alexander; Meissen, Christopher; Tseng, H. Eric; Patrinos, Panagiotis",2023,ARTIFICIAL INTELLIGENCE,10.1016/j.artint.2023.103920,Article,yes,core,vehicle-vehicle; road-autonomous-driving,planning; control-interface; policy-learning,NA:no learned component clearly identified,highway; urban,vehicle,state,prediction-set; action; safety-constraint,weather_or_visibility,NA:no explicit distribution-shift construction,NA:no explicit distribution-shift evaluation,no,collision; task-failure,formal-quantitative,reported,NR:risk label source not explicitly reported,probabilistic_model,set; distribution; bound-or-constraint,unspecified,model-output-score,"The signal is statistically calibrated uncertainty in learned Markov-transition probabilities for surrounding vehicles, represented by online-updated total-variation ambiguity sets and distributionally robust/AVaR risk constraints. It is explicitly consumed by a receding-horizon MPC planner: ambiguity sets determine worst-case scenario-tree costs and collision-avoidance constraints, changing the optimized control action and trajectory as observations accumulate. Safety/task consequences are evaluated in highway clo",NR:risk or safety loss not explicitly reported,constraint,constraint-or-cost,none,reported,delayed observed outcome,NA:no explicit guarantee target,none,G0,none,NA:no statistical guarantee,NA:no statistical guarantee,NA:no statistical guarantee,not-applicable,mpc_filter,none,chance-constraint,backup safety controller,reported,NR:end-to-end online latency not reported,NR:transportation-system impact not reported,NR:dataset or simulator not extracted,NR:predictive metrics not extracted,NA:no calibration metrics,constraint-violation; intervention/failure,efficiency/travel-time,core
